id,name,host_id,host_name,zip_code,neighborhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
l_562151087989468288,Claude Jean Damme Van @Baying Hound Campground,h_151279507,Amanda Elizabeth,28806,West Asheville,35.61214,-82.6031,Entire home/apt,26,1,11,2024-09-01,0.3,19,263,1
l_562346651544631808,Casa Negra Studio - Monthly rental,h_4664726,Maria,28806,West Asheville,35.56888,-82.59623,Entire home/apt,72,30,22,2025-05-04,0.56,3,259,9
l_563790988137644672,The Yellow Door,h_445399772,Chelsea,28805,East Asheville,35.58123,-82.49968,Entire home/apt,65,1,32,2025-06-08,2.31,1,177,26
l_565084527936137408,Beautiful Condo in the Heart of Downtown Asheville,h_121468060,Kristin,28801,Downtown Asheville,35.59213,-82.5575,Entire home/apt,207,2,96,2025-06-02,2.56,1,268,32
l_565221046093678400,Hill Top Tree House by CM | Hot Tub & Near Hiking,h_134903005,Carolina Mornings,28806,West Asheville,35.629695892333984,-82.62318420410156,Entire home/apt,160,1,35,2025-05-20,0.91,46,311,9
l_565916956349123840,Asheville-Mountain Views | Close to Everything,h_66443098,Rebecca,28704,South Asheville,35.48027,-82.56665,Entire home/apt,201,2,100,2025-06-05,2.52,1,84,14
l_566127397996398400,"King beds, hot tub, fireplaces, 7 mi to downtown",h_242474849,Jennifer,28805,East Asheville,35.61086,-82.46774,Entire home/apt,230,1,103,2025-05-27,2.59,28,350,21
l_566564176788326720,Comfortable Modern West Asheville home,h_445988334,Justin,28806,West Asheville,35.58093,-82.58424,Entire home/apt,139,30,15,2025-02-10,0.4,1,352,3
l_567235228834537600,Private mountain retreat near downtown AVL.,h_69379234,Margaret Viola,28804,South Asheville,35.62377,-82.55777,Entire home/apt,103,1,103,2025-05-23,2.61,1,325,10
l_567374138287309312,"*New*Bright&Trendy 3bed Pad|10minDT,Biltmore,WAVL",h_232831690,Jon,28715,Candler,35.56,-82.65179,Entire home/apt,115,2,127,2025-06-05,3.18,8,254,31
l_567444958220784704,Creekside in W AVL in fantastic walkable area!,h_15808281,Kelly,28806,West Asheville,35.58074,-82.57599,Entire home/apt,107,2,41,2025-05-26,1.02,1,328,5
l_567933019816419648,Huge Asheville house Views Hot Tub & Sauna,h_39517702,Bell And Raul,28806,West Asheville,35.60833,-82.6333,Entire home/apt,998,2,76,2024-08-25,1.9,1,334,4
l_568954337248450688,2 bed/2 bath Apt Mtn Views,h_266361810,Alina,28804,South Asheville,35.62133026123047,-82.570343017578125,Entire home/apt,142,2,9,2022-12-30,0.23,4,252,0
l_571027554473176512,Adventure and relaxation 5 miles from downtown AVL,h_401609004,Tara,28805,East Asheville,35.59628,-82.46194,Entire home/apt,130,2,3,2023-04-05,0.08,1,168,0
l_571539242864932608,The Snuggery - 1 bedroom with full kitchen,h_447050851,Ruth,28806,West Asheville,35.58253,-82.57867,Entire home/apt,66,2,119,2025-06-01,3.06,1,289,25
l_571846084759795584,Gem of the Blue Mountains. High speed WI-FI,h_447134467,Cristina,28803,Tuxedo Park,35.54683,-82.5104,Entire home/apt,154,3,103,2025-05-26,2.58,3,362,19
l_572435736445977856,Newly-Built Villa in Downtown Asheville!,h_96187307,Yonder,28804,South Asheville,35.64065,-82.57458,Entire home/apt,155,1,21,2025-04-30,0.62,50,353,4
l_572435754874186880,Little Sadie | Newly Built Asheville Villa,h_96187307,Yonder,28804,South Asheville,35.6417298,-82.573983,Entire home/apt,158,1,27,2024-12-27,0.75,50,287,4
l_572435769734677760,4BR Pet-Friendly Villa in Asheville with Hot Tub,h_96187307,Yonder,28804,South Asheville,35.6417298,-82.573983,Entire home/apt,143,1,27,2025-03-22,0.75,50,348,4
